t,x,y,cx,cy,bx,by
225.04,31.89,4.59, -0.02,-0.90,-0.37,-0.25
225.18,31.51,4.46, -0.04,-1.61,-0.37,-0.26
225.29,30.95,4.34, -0.04,-1.28,-0.37,-0.26
225.50,29.52,4.39, -0.02,-1.13,-0.37,-0.27
225.74,28.26,4.27, -0.01,-0.43,-0.37,-0.27
269.78,-32.49,2.77, 0.00,0.09,-0.37,-0.27
269.95,-33.77,2.83, -0.00,-0.01,-0.37,-0.27
270.10,-34.49,2.64, -0.00,-0.15,-0.36,-0.26
281.92,-97.35,8.89, -0.35,-0.08,-0.36,-0.26
282.14,-97.53,9.57, -0.30,-0.05,-0.36,-0.26
282.29,-97.67,11.19, -0.55,-0.05,-0.36,-0.26
282.52,-97.82,11.64, -0.90,-0.04,-0.37,-0.26
282.67,-97.98,11.91, -0.82,0.00,-0.37,-0.26
282.85,-97.85,13.55, -0.98,0.02,-0.37,-0.26
283.03,-97.98,14.29, -1.04,0.08,-0.37,-0.26
283.30,-97.74,16.58, -1.54,0.09,-0.38,-0.26
283.56,-97.86,17.25, -1.71,0.20,-0.38,-0.26
283.68,-98.08,17.35, -0.86,0.12,-0.38,-0.25
284.03,-98.28,19.14, -0.47,0.06,-0.38,-0.25
284.59,-98.10,22.33, -1.17,0.15,-0.39,-0.25
284.77,-98.36,22.48, -1.17,0.17,-0.39,-0.25
294.76,-86.57,61.32, 0.10,0.69,-0.39,-0.25
295.12,-84.72,61.20, 0.13,0.87,-0.38,-0.24
295.24,-84.60,61.02, 0.22,1.26,-0.38,-0.24
295.72,-81.44,61.15, 0.15,0.83,-0.38,-0.24
296.22,-79.13,61.09, 0.15,0.90,-0.38,-0.23
307.33,-18.01,62.67, 0.05,0.88,-0.38,-0.23
307.69,-17.26,62.46, 0.08,1.29,-0.38,-0.22
307.78,-17.26,62.46, 0.07,1.11,-0.37,-0.22
308.08,-15.53,62.24, 0.11,0.60,-0.37,-0.22
308.18,-15.53,62.07, 0.18,0.96,-0.37,-0.21
308.31,-15.27,61.83, 0.17,0.90,-0.37,-0.21
308.56,-13.38,61.35, 0.15,0.42,-0.37,-0.21
309.43,-9.14,58.39, 1.33,0.73,-0.36,-0.20
309.59,-9.31,58.20, 1.60,0.86,-0.36,-0.20
