tru_x, tru_y, ukf_x,ukf_y,error
-148.35614013671875, -46.48723220825195, -146.11669287435683,-46.66723063254524,2.8983756898971818
-148.60023498535156, -46.16647720336914, -146.63154404952928,-46.43276405975893,2.894895700263618
-148.91827392578125, -45.56568908691406, -147.01465141006096,-46.61393345809884,2.892151432300992
-149.04737854003906, -45.1973762512207, -147.24509171951902,-46.468980043365136,2.889551324632838
-149.1974639892578, -44.68260192871094, -147.6813911048038,-46.18849118511468,2.8867109877675614
-149.36224365234375, -43.96755599975586, -147.63437728267886,-43.73522967013327,2.882412884547842
-149.36224365234375, -43.96755599975586, -147.90383061859757,-42.96115206205286,2.878253858793261
-149.530517578125, -42.67833709716797, -148.02603722233349,-42.455217908332436,2.8731892362338645
-149.574462890625, -42.092674255371094, -148.31801571085066,-42.44139134969815,2.8673556010876524
-149.60643005371094, -41.662879943847656, -148.4039810682002,-42.1005480329547,2.8614751127176055
-149.6257781982422, -41.25361633300781, -148.17752157513087,-41.09331390367321,2.856292921421383
-149.64862060546875, -40.43074035644531, -148.1614519828844,-40.59585660619852,2.8512929722590874
-149.66024780273438, -39.86791229248047, -148.1821547686415,-40.01602299485684,2.846290049780114
-149.66551208496094, -39.32819366455078, -148.05934608058254,-39.96667190311075,2.8422102194091523
-149.6679229736328, -38.82611083984375, -148.16798588359345,-39.542962694244004,2.8379201252151764
-149.66732788085938, -38.536563873291016, -148.3567791848386,-39.54819593929639,2.8336362756305644
-149.66287231445312, -37.692726135253906, -147.5421564621725,-37.14826414610093,2.831310844509678
-149.6621856689453, -37.4063606262207, -147.49637437755936,-37.214135590696635,2.828947585917828
-149.65298461914062, -36.51099395751953, -147.1945092060135,-36.513742755971066,2.827619734175576
-149.64698791503906, -35.96611404418945, -147.26238455391677,-36.417658008287376,2.8261888729942553
-149.64698791503906, -35.96611404418945, -147.53251916744307,-35.391552401854845,2.8239289163810986
